employed Gates;Number of simulationruns;percentage of fans in the stadium;number of fans in the stadium
1;1;15,63333333;469
1;2;15,66666667;470
1;3;15,5;465
1;4;15,6;468
1;5;15,56666667;467
1;6;15,76666667;473
1;7;15,66666667;470
1;8;15,53333333;466
1;9;15,5;465
1;10;15,63333333;469
2;1;32,33333333;970
2;2;32,63333333;979
2;3;32,36666667;971
2;4;32,33333333;970
2;5;32,66666667;980
2;6;32,4;972
2;7;32,3;969
2;8;32,23333333;967
2;9;32,5;975
2;10;32,4;972
3;1;49,66666667;1490
3;2;49,53333333;1486
3;3;49,83333333;1495
3;4;49,4;1482
3;5;49,8;1494
3;6;49,7;1491
3;7;49,56666667;1487
3;8;49,63333333;1489
3;9;49,76666667;1493
3;10;49,7;1491
4;1;66,6;1998
4;2;66,5;1995
4;3;66,66666667;2000
4;4;66,46666667;1994
4;5;66,43333333;1993
4;6;66,56666667;1997
4;7;66,7;2001
4;8;66,46666667;1994
4;9;66,6;1998
4;10;66,43333333;1993
5;1;82,86666667;2486
5;2;82,83333333;2485
5;3;82,83333333;2485
5;4;82,6;2478
5;5;82,96666667;2489
5;6;83;2490
5;7;82,63333333;2479
5;8;82,8;2484
5;9;82,76666667;2483
5;10;83,23333333;2497
6;1;98,3;2949
6;2;98,2;2946
6;3;98,1;2943
6;4;98,36666667;2951
6;5;98,4;2952
6;6;98,7;2961
6;7;98,43333333;2953
6;8;98,3;2949
6;9;98,36666667;2951
6;10;98,76666667;2963
7;1;100;3000
7;2;100;3000
7;3;100;3000
7;4;100;3000
7;5;100;3000
7;6;100;3000
7;7;100;3000
7;8;100;3000
7;9;100;3000
7;10;100;3000